蓉蓉子(00:00:00): 练功回来？
蓉蓉子(00:10:09): 对是，所以哈，这个顺延到你第二个问题，你说这个产品所谓叫产品延伸和产品深化的这个问题哈，就我相信你自己内在有答案的这个答案从哪来哈，答案从你的客户的问题来。就是你的产品形态只是接住他的不同的层级嘛，他有复杂的这个场景和任务的时候，或者问题的时候，你会发现你单次是接不住他的。你可能需要很深度的这个叫我们这样的很深度的去共创去连接的时候，那这个就是叫1v1的更深度的这种服务了。然后如果你发现他的问题是浅层的，你好像通过一次两次你是可以解决它，你就可以把它放到叫批量里去做交付，这个就所谓呈现出来的就是训练仪嘛，再浅层一点，那就是1v1。

六六(00:11:17): 因为我昨天还问就 AI 林子嘛，然后因为我在想就是有没有一种形态，是不是高可担？就后续的这个承接方式，所以我就在想能不能做一个一年的社群，然后因为他们有问题可以抛出来，然后又是继续一个场域嘛。对，但是我的担忧点在于我对于社群的运营其实没有那么多的精力，但是可能我能做到的是我有好的感悟或者觉察或者他们遇到的问题，我就能给到一个视角，然后我就带着这样的想法去问林子 AI 林子，然后他就说，你这是在用一年的社群逃避高客单。

六六(00:12:10): 他说这样算下来的话，其实还不如高鹤丹的性价比高，原话怎么说的来着，反正挺逗的，我看一眼，我给你读读他咋说的？他给我拆了有四层。是不是没有留档？

蓉蓉子(00:12:35): 对没关系，你可以找一下，其实大意，我也理解哈林子的出发点。

六六(00:12:36): 这个还是。

蓉蓉子(00:12:46): 我们可以这么说，就是社群把它作为一个产品的话，他一定会带着就是我们也一样的哈，就是用户需求痛点和我们所对应的解法，这个是社群的一个解法就是。它可不可以作为一个产品形态，我认为是可以的，但是做社群尤其要定义好边界，尤其对我们这样的人来说。

蓉蓉子(00:13:14): 你能懂吗？就是我们是可以做一个年度社群的你你也希望社群活跃好，如果这个理想的情况下，社群极度活跃，大家天天向你抛出各种各样的问题。大家也很想六六去接住他们的问题，他们的困扰他们的，请问六六的谁来保护六六的时间精力和心力？

六六(00:13:42): 做一个助理进去。

蓉蓉子(00:13:49): 好，你看你想到的是我们叫做一个助理，就是我依旧承担着这样的责任，我还是想把大家服务好，只是我觉得我服务不过来了，我再找一个助理帮我一起去服务大家对吗？这是你的这个发心哈，我们叫这个负责任的态度来做交付，但是这里有一层非常重要，其实我最近也在考虑这个问题，包括这个年度社群就是比较优质的这种社群，这里有个很重要的是我们要解决的一个课题，叫边界的问题，或者叫就是边界的问题，总结它就是边界到底。

蓉蓉子(00:14:29): 要交付什么，我们不交付什么，比如说我们不交付的是不是怎么7×20答疑你不需要交付？你交付什么，你交付每每一个月开一场直播是不是可以？对我想说的就是如果社群产品是存在的，它一定是在产品整个体系里比较轻，或者是相对信任的那个产品，它一定不在你的高客单的那个位类里。就是我们把产品想象成就是产品矩阵往逐步往上走的，它一定是跟你现在的训练营相对并列的一个板块，我们都叫信任产品哈。

六六(00:15:17): 当时 A AI 告诉我说你可以做月度围炉，就是你说的每个月直播？

蓉蓉子(00:15:20): 对就。对就是这种的话一定在这里有一个叫边界的问题，就是我们可以交付什么不可以交付什么，这个要说的很清楚，就是我可以答疑，但是我不负责每天给你们做客服做答疑，你可以比如说每周我可以做一次集中答疑。这样可能可以！

六六(00:15:53): 边界这个事情是在销售里面也非常重要的，我也不断的跟他们强调。

蓉蓉子(00:15:59): 对是所以做产品也是一样的，就是如果你后面觉得说，我想要换一种依旧保持这个场域，然后大家持续的在这个场域玩起来，那就玩的边界提前都定义好。然后他跟高客单依旧还是两个产品的形态，高客单因为有一些客户，他就是想要深度的。1v1的跟你去做共创，他可能不想要在一个场域的群里，或者在一个赢的一个群里，就跟你跟我们此刻一样的。有些客户一定跟你的一样说，我就想要跟661 v1，而且是深度的1v1对是高科的，对，所以它是两种哈，你不要放到一起哈。

六六(00:16:49): 那这样高客单不相当于把咨询给打包了吗？

蓉蓉子(00:16:57): 对所以这里也有个问，也有个点哈，我们可以一起聊一下就是高客单有两种形态，第一种形态我们叫这个叫单次咨询的合集，这个是这个高客单是按什么卖，按次数卖的是什么？是咨询次数的？这个乘以你的这个次数的那个费用，这个存在吗？这个存在的就是比如说你现在1v1多少，我10次多少，这个是按次数，还有一种哈，就我们叫这个叫价值收费。

蓉蓉子(00:17:37): 价值收费或者要解决方案收费就是我们知道你要解决什么样一个长期的问题，打比方，我们那个我的私教里面其实主要。也比较清晰，就这三块内容就是知识库相关的，我们要达成一个什么，然后我们在这个 AI 的这种场景里面，我们想达成什么，和我们在产品的这个部分想达成什么三块的这个内容可以不断的去做这个精进，深入合作共创。

蓉蓉子(00:18:13): 这个叫这我们叫这个叫价值导向就是价值导向，我们知道这三块是很重要的，单次的你就会发现打包的里面客户会问你各种各样的问题。就是论次嘛，就是你你有什么问题，我会那个就是你你跟我私教比较多，你就会知道，我们一直在聚焦，你发现没有，一直在聚焦这几块的内容。

六六(00:18:28): 对一定是。

蓉蓉子(00:18:41): 就是你半年以后你都不用蓉子以后你就会发现，你在这三块你有自己的体悟，你有成长就是你带来的给你带来长远的。

蓉蓉子(00:18:53): 收获就他可能不是一朝一夕说，我今天听了我整明白了，我明天就会了，你想一下在销售场景里有没有这样的，很有价值的板块，大家重复的在探讨，但是他单次解决不了。我们无法说你单次我就教会说好这个知识库一天搞完了，产品一天搞完了 AI 的这个场景的这些思维方式的，我们到底怎么去传我们的工作流，怎么去弄 skill。他不是一天两天说，我好像今天听会了，我明天就会了，我相信销售场景一定也会有这样的就是值得他去叫深挖的板块，既是你的擅长又是客户的。

蓉蓉子(00:19:37): 痛点它持续在这里痛，就跟解决身体的一个痛一，他不是一天说，我今天这个肩膀酸听完六六我明天就不爽了。它一定会有一个根因在这里的，不管是他的我们叫日常的，他的习惯，还是他的思维，还是他的固有的一些限制认知等等。导致了他的肩膀酸。

蓉蓉子(00:20:05): 所以我会更建议你做第二种叫价值驱动就是你会发现大家都在，就是你看这个高客单怎么怎么好的行程哈，其实最好也不要。这个强行设计哈，当然设计的部分我可以协助你，我们去做一个结构化的设计，这个从哪来？自从你跟客户聊完了很多，比如说你聊了10个客户20个客户，你会发现他们问你都是这几个共性的问题。你看别人在问我什么问题？这是酷的 AI 场景的产品，相关的就是你把别人常问你的这些问题，你给他传成一个，我们叫相对有这个解决方案的部分，但是每个私教客户的情况不一样，我们要怎么做定制。我不能说上来以后所有的知识库都长一样，所有的这个大家 skill 都一样设计的，所有的产品都一样，这个就是这个叫定制服务的价值。

蓉蓉子(00:21:11): 所以你也可以，我觉得从这个方向来设计你的这个高客单，而你会发现，在训练营里你可以你更多的感知大家。第一，有哪些共性的问题是他们不断向你提出的可能不是一个人，几个人都向你提出了共性的问题，然后第二，你发现在训练营里。没法深度的支持到他们。因为训练营我们叫也是相对来说也是一个叫。轻量化的产品，我们不管这个14天21天。相对来说哈相对或者说我们叫中度产品哈。

六六(00:21:54): 妈你听吗？不清吗？

蓉蓉子(00:22:05): 叫年薪产品。

六六(00:22:06): 共性问题无法深度支持的问题还有。

蓉蓉子(00:22:13): 还有。可以看一下客户他们的一些预期和目标。你可以结合着他们的预期和目标来看我们怎么去更好的深度的这种方式来支持到他们？

六六(00:22:40): 我把记下。你刚说完，已经有了。

蓉蓉子(00:22:46): 脑海里面有了，你可以大概分享一下。

六六(00:22:54): 大家首先识别这个用户的这个阶段识别不出来就是他全当成他已经认识到这个问题，想要改变去销售的。然后第二个问题就是边界的问题，对你自己的边界，产品的边界，客户的对于你感受什么的边界，就好多时候他们会忍受这个销售已经让他不舒服了，然后但是他还要去做销售这个动作，所以最后就会内耗。但我。我一看他如果跟我的产品不匹配，或者他说话惹我不高兴，我就不跟他聊了，然后还有第三个就是挖掘需求，他们就不会挖。

蓉蓉子(00:23:34): 对没错。对你这些都可以打包进一个我们叫高客单的服务里的私教服务就是你的不同的板块，作为你来说是的，是你不同的板块嘛。然后这三块他可能也会随着，比如说先跟我一样，你可能做了一个预设的阶段，我们建议先比如说，先有地基，先有再有第二阶段，再有第三阶段，然后客户在这里可能他会动态变化，那就根据客户的这个实际的变化来变化，但是那几个框架还在，就是你先把框架定义好，这几个框也别太跳，在这几个框里的，你们可以持续深度深挖。

蓉蓉子(00:24:31): 解了吗？

六六(00:24:35): 就还是得做高客单，就这么听下来就还是得往高客单转。

蓉蓉子(00:24:41): 或者我这样问你哈，你为什么会内心会有一点点抗拒高客单？

六六(00:24:47): 因为我就是觉得他好多人做高客单就是一个伪高客单就是就第一个第一种形式嘛，打包服务，我觉得打包服务就是跟你说的那个问题，就是我已经遇见这个问题了，他就是会。

蓉蓉子(00:24:55): 各种问啥也能问？

六六(00:25:02): 对啥都问，然后你最后就特别不聚焦，然后你还卖了一个你打包的服务就他，所以就会变成就是感觉你跟个居委会大妈似的，在处理他的各种问题。这个是我非常抗拒的形式，第二种是我觉得第二种即使你是价值驱动，它依然会出现第一种的问题。我就觉得高开单这个产品它就是一个大坑。

蓉蓉子(00:25:34): 我觉得这个叫怎么说哈，我自己的体感哈，我自己的一个体感就是高客单也会量变产生质变。一开始你会发现大家就是还是从问题切入，都是从问题切入的切到后面，你不断观察，突然一下子会产生质变，就是你突然叮了一下。

蓉蓉子(00:26:04): 比如说我一直你看我们的这个几次里面一直在聊产品，诶也一直在聊 AI 你可能一开始没有感，好像都是在说问题解决的，也是你的问题，突然好像有一天你可能也会意识到产品这件事情原来是这么一件事情，就是在那个下面的那些东西，他说，蓉是这么来思考的，我觉得高客单我们最后能给到客户的是什么，也不是方法，就是方法，你可能给了以后他会忘掉。你能给他就是你的那种，我们叫思维的模式和就是再底层一点的那些东西，就是比方法比解决单次的那个问题有价值的多。

蓉蓉子(00:26:45): 我认为是我坚持在做高客单的一个原因，就是我不怕问题，我不怕从问题我们去切入，如果你要解决问题，我们可以快速的去解决问题，但是你会发现问题是不在表面的是单次的用户会有。各种各样的问题，就如果你你们一直停留在问题层面永远都是在围绕问题，如果能基于问题不断深挖一次，大概知道了，再基于问题再不断深挖一次，时间长了以后，它会形成一个就是你的惯性的思考。

六六(00:27:05): 消灭不完的问题。

蓉蓉子(00:27:21): 比如说你跟我聊的你你也会发现，你跟别人去聊的时候你也不太会说，我们看到这个单点问题，我们就解决这个单点问题。你可能也会再往下挖一层说，我们来看看这个问题的根因是什么，卡住你哒，其实所有的这些都是相通的，这个我觉得是我自己哈，我自己做高客单的一个一个发心，就是我依旧觉得这个问题解决不完，而且这些问题你你再过两个月，你会发现这些问题不重要。

六六(00:27:55): 只要你学的完，你就可以不用学。

蓉蓉子(00:27:56): 就是你会发现问题是流动的，其实我更想要去传达的就是我们基于这几个方面不断深挖的时候，我们会有一个你会有盯的，那个时候就是其实 AI 时代哈，这些方法和那个我认为都没有很重要，你可以从别人那里获得方法，你也可以从 AI 那里获得叫方法的解法。是重要的，思维的模型和思考问题的方式和你如何来作为真人接触客户的这个时刻是重要的。这个是我们说提供私教的一个很好的叫深度连接的方法，也代替不了，必须要人。对就是作为人的看见和人的支持，所以我觉得就是作为你来说哈，你你你内内在可以更多的感知一下你是否愿意真的接住对方，接住他三个月和5个月，这个过程一定会有点辛苦的。

六六(00:29:10): 这个我已经感受到了，因为这次就在跟大家拆那个1v1的销售谈单话术的时候，然后就是感觉。不过我觉得好的点是，如果你要说作为人的支持跟教练那一面，我倒觉得简单了。

蓉蓉子(00:29:30): 最重要的就是人的支持和教练的支持。

六六(00:29:41): 那其实倒简单了，因为是回到道上本身了，它不是在12345上。

蓉蓉子(00:29:47): 对是所以你发现没有，我们之前你你还记得你带了很多12345的问题，然后我们没有着急的去解决12345因为卡住12345的底层都可能都是一个大的问题，你解决吧12345还有5678九。

六六(00:29:59): 这么多问题？

蓉蓉子(00:30:09): 你能懂就是共通的，就是这个，我觉得也是你或者我们叫 nf 人来做的很好的一个事情，就是你不断的在底层接触他的时候，他就会觉得说，当我遇到那个问题的时候，我可能也会去贯通一下，说卡着我的不是我看到的。

蓉蓉子(00:30:30): 你想价值不高吗？价值非常高，可能无法用我们叫金钱的方式来衡量。

六六(00:30:39): 这就是拆掉它的模式？

蓉蓉子(00:30:41): 对如果你可以帮助我们说真正有缘分的人能给他拆掉叫销售这个板块里面的那些墙和这个模式，这个价值远远超过了我们叫私教的价格。如果他能学会真正学会再往下一层，我们就要相对倒一点的这个部分。都不是用多少钱来衡量的，我觉得你你可以做这种的私教。

六六(00:31:17): 销售心法私教。

蓉蓉子(00:31:19): 我觉得你会比较就作为你来说，你也会比较舒服！

六六(00:31:33): 太好了。这样我就不会对高客单这个东西感觉比有压力了。

蓉蓉子(00:31:36): 是不是。

六六(00:31:42): 也不会说，觉得如果他们还需要后续服务的话，没有东西承接。

蓉蓉子(00:31:48): 但依旧在这里也有一道边界，就是我自己在那个私教的服务里面也说也有说明哈，就是不管别人看不看你要做说明一样的，就是你可以在私教里交付什么和你不做什么，你要说清楚，比如说你不做的是这个客户什么什么他自己的行动问题，私教依旧解决的是我们叫还是偏底层和方法层面的。代替不了别人的行动，别人的什么焦虑，内耗等等，就是代替不了他的这个部分就是也需要在你的那个私教里面做产品说明书的时候你给他说明上去，然后你也可以参考一下，我写的我在首页给你直接写进去了。我给你共享看一下，这可以直接参考，你可以直接把我的拿去。

六六(00:32:42): 好像有的。

蓉蓉子(00:32:53): 这个一个参考。就是你看这个是框架哈，框架完了以后我在哪里给你，我没在这里给你写吗？没有我最新的，有的对我跟你你太早了，你太早了。

六六(00:33:04): 没有边界。你没有给我写边界也正常，因为我不需要那些东西来约束。

蓉蓉子(00:33:15): 挺好听，你就是以我把那个暂停一下。

六六(00:33:22): 好卡。

蓉蓉子(00:33:30): 我最近电脑运行的这个程序有点多的。

六六(00:33:34): 妈这么多？

蓉蓉子(00:33:38): 我是在我给你大概看一下你看定制的边界的说明我会提供哪些方面的指导和支持。这个就是我们的，其实就这几块东西，你的这个内容不会替你做的事，边界不会替你行动，产出内容不会什么不会无限制的提供服务。你需要的话我给你直接粘过去，你可以参考！我给你放到。

六六(00:34:39): 你把我们的文档都建到知识库里面了，每个人一个知识库！那我只是做了飞书的档案。

蓉蓉子(00:34:45): 对我是直接见到那个知识库，因为我发现东西还挺多的，就是每一个人可能东西都挺多的，所以我单独建了那个知识库，给你们一个放的。好，然后这块你看看还有没有什么问题产品的关于产品延伸的部分。我都给你写到这里了哈！

六六(00:35:14): 其实这个边界你肯定是有相当于决策卡嘛，其实我觉得你要能把决策卡告诉我，怎么判断这件事情，然后可以让他帮我再梳理我的那个边界，我觉得会更好。

蓉蓉子(00:35:30): 对就是这个里面一个是决策卡，还有一个就是你其实直接看一下，就是你看一下你的，你就告诉他，如果让 AI 帮你写的话，你说基于我的这个所提供的这个内容和我不提供的，我是什么，然后你参考蓉子的，给我写一份。最简单的就你直接让他参考一下我的，他就大概知道了。这个你可能写个差不多三两三条，三四条都可以的，我是有一些客户，我也会给他做了定制的，比如说有这个别的哈，普通的 TOC 的话我就写的可能就三四条。

六六(00:36:20): 看到这里我要跟你聊一个事情了，就是这个庞大的事情。

蓉蓉子(00:36:33): 你说。

六六(00:36:35): 上次在杭州的时候吃饭，你先走了，然后后来是等艾米丽撤了，然后我又跟刚哥和。吉祥和戴杰他们说的这个事情是 emily 的那个老师就 emily 是吴林的助理嘛，然后我和 emily 和就是全总，就这次口腔医院的那个联合创始人，我们一块儿都在吴老师那里学习。

六六(00:37:10): 手法吗？吴老师他就是研究易经的一个人，后来。当时是吴林问我愿不愿意帮他做北京地方的销售就是跟他产品相关的推广销售的工作。我一开始还挺高兴的，我后来一想这个事儿太多了，因为他处于一个非常基础的阶段，很多东西还没有建立好帮他做销售，就意味着要把整个的宣传体系要搞出来，所以后来回来以后不就忙发售了吗？然后我就给吴老师回复了。

六六(00:37:58): 后来全总就来工作室找我们俩聊了一个下午，他就跟我说，他当时创立口腔医院和为什么想要帮助吴林去做这个推广，因为蜗牛口腔也是有一个他们会员的会员制的一个体系，所以他们也会提供全方位的健康支持，给到他们的会员。所以就会引进心理的课，身体的课，他说我也可以有时间的话可以去他们诊所去做手法，拓展客户什么的。我也没有动容，后来，我只是觉得说如果他们有医疗资源的话，如果能合作。

六六(00:38:54): 把我的工作室落成一家正经的门店，如果他们能就出一些资金的话，我觉得还是可以聊的。后来全总不看我天天发这个实战营，他就过来买了吗？我一开始就以为他逗我玩，后来发现他是真的有需求。他的需求点，一个是来自于他自己要管理口腔牙医他们也是一体化的服务，就是牙医只会看牙，只会医学相关的是没有用的，就还得做销售相关的。然后但是他们其实工具已经很齐全了，就是有工牌上有录音笔，然后他们也会有 AI 的那个销售教练，然后我就发现他们就牙医，他根本就不想干这个事，就是我感受到他们根本就不想干销售这个事。所以他会一直在逃避，那天下午就上周周三去了趟他们医院，然后一个是体验他们的整个服务流程。第二个就是有两个牙医在就跟他们去聊了一下。

六六(00:40:07): 就牙医的复盘，就针对于销售的聊完之后我就跟他说，我说你工具已经很强大了，但是你员工还不愿意干这个事儿，就证明你没有给到他特定的支持，就比如说是用人去练的方式。

蓉蓉子(00:40:20): 对。

六六(00:40:24): 因为可能作为他的视角，他是他们的老板，你跟他们去做复盘的时候肯定会有一些，就是你为什么不这样去做的这种成分，然后这个事儿我也跟他私底下说了。所以我就在给他种草，就是能不能有一个外挂的销售教练去做复盘，就这个是方案一嘛，方案二就是他自己需不需要一个教练去做一下这个方面的就是更多视角的拆解。然后对就是我跟全总整个链接下来的一些进展，然后另外就是。我其实一开始拒绝了吴老师的邀请，我后来在想就如果他是。因为我其实你看我每天早上都在练功，我练的东西就是吴老师说的，你去多走路，然后跟你练他的那些小功法，这对我来说是从今年几月份开始，然后练到一直都练到现在，我是觉得身体越来越好的，然后我就觉得我这个人又心口不一就是明明我在实践他的东西，然后我又说不帮他去做这种工作，然后去。考虑什么，这个佣金的这种问题就对我的投入产出比，所以我觉得如果一个东西真的对我有帮助的话，我是应该要把它传递给更多人的。

六六(00:42:07): 然后这次吴老师他马上又要来北京开课了，我就给他找了，其实我差不多触达了得有五六个人吧，最后有两个人说来上这个小功法的课，那我已经很满意了。对所以就对，因为其实全总那块的事情跟吴林吴老师结合的也比较深，然后当时刚哥就说，你帮他去做销售的动作，你不如直接成交让他去来。把你跟销售的东西都拿到他自己的体系里面，后来我就想到刚刚说这句话，我就把艾美丽成交了嘛。

蓉蓉子(00:42:51): 对！

六六(00:42:54): 目前这块就是庞大的事情就是现状就在这里，这个对最近的一些进展！

蓉蓉子(00:43:04): 首先这个权总这里哈，我觉得是一个非常好的开头哈，一个讲哈，就是我们说，这个我们把权总称为叫小小 B 人群吧哈小 B 的这个群体。小 B 的创始人群体或者叫老板群体对权力的权！

六六(00:43:24): 权力的权。

蓉蓉子(00:43:34): 这类是一个很好的群体，就是你服务他一个人，他背后是有11堆人的，然后这个你现在对于有问题吗？在产品方面。我觉得方向是没有问题的！而且是一个非常好的开开开端。

六六(00:43:53): 你觉得我的给他这两个方案是还不错是吗？一个是直接因为我没有上来，直接就说这个事情我在侧面的种草，我只是给到一个，你看你现在的解决方案，现在的这个局面是这样，你自己也看到了，你还有另外的解决方案，我只是给到了一个种草就两个方案，一个你要么就请一个外聘的销售教练复盘，要么你就。自己把这个部分更修整的更中正一点对待你的员工，这样你们自己体系也更好复盘。

蓉蓉子(00:44:34): 这两件事两个方案可以融合好，对我给你一套解法就是参考这个思路，其实跟我做的这个有机地球的张萍老师也有点像哈，包括我服务的那个也算这个群体就是可以融合的点在哪里哈，你会发现这两个方案二选一它都不好选。

六六(00:44:40): 又融了我的妈！

蓉蓉子(00:45:03): 在客户的视角他不好选，你是要赋能我的话这两个是各类，事实上他跟他的团队是一体的。在用户的这个视角方面，这个痛点层面哈，他们是一体的，就是权总很专业，他还懂专业懂管理，但是他不懂这个下面的人懂专业，但不懂这个。这是他们好，他都懂，他 OK 所以哈这里你看哈，这里。

六六(00:45:27): 他都懂，下边的人不懂。

蓉蓉子(00:45:40): 你就会发现谁买单哈，我为什么想提出融合的一定是权总买单赋能，不管赋能他还是赋能下面的人，所以在这个里面，最终我们说这里有两个获得第一个获得一定是权总本人的获得。这是他的获得哈，第二个是他员工的获得，为什么说融合或者说叫阶段性融合哈，首先让谁感受到获得，一定是先买单的人感受到获得感。然后是员工的获得，当然如果他想的很清楚，他说六六我不需要从你这里有任何获得，你只需要给我的员工做获得，这个也是 OK 的。我们现在是这个正常逻辑，就是未来你遇到这样的群体的时候，他一定会有两个获得的对，所以这个怎么融哈，就是你会发现，他们的这个痛点也比较清晰。然后他也看到了你的一些销售的，你的这种真实的状态是他们想要的，然后你可以给他们提一个大的解法，说我们把线上的这套。就是线上他自己感受过了，就是怎么做，对你的交付也不是很复杂，就是你直接把线上这套给它搬到线线下去。这个叫线上的交付线下化，这个对于你来说是最好融的，就是你不需要为他们这个单独你再给他做一套什么产品的，这个单独的解决方案，除非客单价很高，你纯走高定版，如果他是正常的哈，差不多的，你要切怎么切，你就直接把线上的交付线下化。

蓉蓉子(00:47:39): 就是你看你的员工不是不爱销售吗？为什么不爱销售，因为销售你就想这个大谁爱销售，我们叫那个纯营销售的部分哈。是他没有意识到销售这件事情的好玩！所以其实你要带的是他们员工的获得，怎么让销售变得好玩，怎么让大家这个大家不是想不销而销吗？那怎么让的让这个销售变成不销而销？

蓉蓉子(00:48:10): 对。

六六(00:48:14): 之前我就有想过线上的做线下的是非常好做的，因为它本身就是线下来的。

蓉蓉子(00:48:17): 对你就直接开成什么，相当于就是你的叫线下工作坊的方式。

蓉蓉子(00:48:30): 工作坊这就是工作坊哈，共创共作坊分什么下午场，下午上午场，下午场你可能这个工作坊2.3天结束了。一周一天。

六六(00:48:44): 不一定，他们有时间休息的时间没准得干。

